Engine_ID,Predicted_RUL,Actual_RUL,Alert
106,126.96807,130,NO
107,38.491764,49,NO
108,167.59192,213,NO
109,117.77915,107,NO
110,171.02113,135,NO
111,45.522934,41,NO
112,98.10705,75,NO
113,129.51466,103,NO
114,146.76883,178,NO
115,109.373055,75,NO
116,52.75635,61,NO
117,69.779594,77,NO
118,83.77562,70,NO
119,86.649376,59,NO
120,48.256344,60,NO
121,33.09178,24,NO
122,168.10689,179,NO
123,122.37557,126,NO
124,19.046112,20,YES
125,7.0753,10,YES
126,118.06012,148,NO
127,110.68737,71,NO
128,171.43692,220,NO
129,11.927063,9,YES
130,78.92573,77,NO
131,76.87769,85,NO
132,171.4464,182,NO
133,110.949745,151,NO
134,26.76098,33,NO
135,23.488407,22,NO
136,171.48209,222,NO
137,85.40978,67,NO
138,53.00585,44,NO
139,159.94368,182,NO
140,128.55435,149,NO
141,113.46703,85,NO
142,111.542915,124,NO
143,151.01581,123,NO
144,8.818117,13,YES
145,-1.8084319,2,YES
146,111.80929,103,NO
147,128.03566,140,NO
148,36.425823,21,NO
149,137.87701,113,NO
150,167.17874,235,NO
151,155.4119,164,NO
152,158.21335,170,NO
153,154.8081,127,NO
154,79.33187,105,NO
155,37.042244,39,NO
156,21.493929,28,NO
157,76.78571,87,NO
158,79.93539,92,NO
159,0.56607854,4,YES
160,10.736561,17,YES
161,119.539665,81,NO
162,3.9736092,2,YES
163,41.287632,45,NO
164,49.17438,60,NO
165,87.27399,94,NO
166,119.43007,127,NO
167,121.42448,94,NO
168,126.98445,96,NO
169,112.71895,77,NO
170,137.15651,133,NO
171,63.859905,61,NO
172,44.96712,49,NO
173,101.422874,96,NO
174,126.37285,151,NO
175,171.49158,157,NO
176,145.13614,122,NO
177,47.55009,39,NO
178,69.85511,60,NO
179,102.62432,95,NO
180,61.624363,65,NO
181,5.3202095,7,YES
182,151.23428,87,NO
183,46.094543,59,NO
184,168.81082,186,NO
185,165.27542,183,NO
186,68.23117,68,NO
187,132.6912,145,NO
188,122.403694,95,NO
189,169.39401,201,NO
190,85.359474,77,NO
191,36.37713,31,NO
192,120.136894,88,NO
193,51.14826,71,NO
194,57.167004,68,NO
195,10.002347,10,YES
196,171.4313,184,NO
197,97.42457,91,NO
198,138.20955,95,NO
199,9.852361,12,YES
200,93.548,121,NO
201,98.48133,69,NO
202,159.54068,183,NO
203,20.143404,20,NO
204,61.547306,71,NO
205,24.586533,25,NO
206,128.03795,130,NO
207,11.88244,13,YES
208,39.659477,37,NO
209,109.55288,130,NO
210,31.75699,40,NO
211,67.69489,73,NO
212,24.14774,17,NO
213,15.613515,23,YES
214,24.622972,20,NO
215,35.82172,33,NO
216,116.66024,156,NO
217,52.833828,61,NO
218,43.26687,49,NO
219,87.77471,65,NO
220,54.34361,49,NO
221,136.0786,144,NO
222,132.40814,113,NO
223,73.12604,79,NO
224,28.86813,28,NO
225,171.28311,251,NO
226,167.18129,120,NO
227,9.796761,12,YES
228,40.55979,55,NO
229,150.69247,155,NO
230,117.85353,110,NO
231,164.92001,183,NO
232,63.331097,56,NO
233,171.1376,235,NO
234,15.458205,17,YES
235,170.97829,179,NO
236,57.658276,47,NO
237,98.3145,92,NO
238,52.474514,51,NO
239,129.414,130,NO
240,138.76488,171,NO
241,119.70424,113,NO
242,54.90388,45,NO
243,146.42322,104,NO
244,120.536476,119,NO
245,28.911245,28,NO
246,47.21793,25,NO
247,35.521927,40,NO
248,16.635311,12,YES
249,156.1619,123,NO
250,170.99738,194,NO
251,63.823563,74,NO
252,99.95126,78,NO
253,171.45392,209,NO
254,31.45333,34,NO
255,140.73846,98,NO
256,62.322918,73,NO
257,70.703575,67,NO
258,52.269146,33,NO
259,170.56076,227,NO
260,3.3696227,3,YES
261,11.909126,12,YES
262,7.505987,14,YES
263,73.92523,65,NO
264,63.335564,71,NO
265,38.383976,37,NO
266,3.966698,6,YES
267,82.811806,64,NO
268,164.88655,121,NO
269,148.89294,90,NO
270,5.848243,1,YES
271,88.20005,61,NO
272,62.191303,68,NO
273,20.261206,24,NO
274,144.35191,121,NO
275,43.592525,61,NO
276,150.81993,129,NO
277,87.08369,92,NO
278,84.76234,68,NO
279,171.06778,170,NO
280,67.97843,63,NO
281,32.52629,27,NO
282,64.006,57,NO
283,171.35881,226,NO
284,170.63182,149,NO
285,167.36078,216,NO
286,24.976067,31,NO
287,23.349371,20,NO
288,131.46014,139,NO
289,171.40169,161,NO
290,42.063686,47,NO
291,117.49319,73,NO
292,171.4869,182,NO
293,155.69142,126,NO
294,171.1278,152,NO
295,41.731937,41,NO
296,158.28815,119,NO
297,169.4827,187,NO
298,150.313,179,NO
299,119.67579,87,NO
300,134.37921,133,NO
301,108.7022,106,NO
302,6.7715826,6,YES
303,111.58781,83,NO
304,44.468906,41,NO
305,29.725863,28,NO
306,152.98602,185,NO
307,8.938404,9,YES
308,170.36734,107,NO
309,171.4244,116,NO
310,164.27892,182,NO
311,108.8635,101,NO
312,171.30704,143,NO
313,30.331781,37,NO
314,42.591816,56,NO
315,127.77251,158,NO
316,94.710106,124,NO
317,144.13248,157,NO
318,99.34434,51,NO
319,52.348278,45,NO
320,66.81777,47,NO
321,169.51315,193,NO
322,28.058266,26,NO
323,56.883102,57,NO
324,13.181737,17,YES
325,109.28041,102,NO
326,67.08911,57,NO
327,112.30857,89,NO
328,84.38211,90,NO
329,141.32196,145,NO
330,154.26767,137,NO
331,169.56778,255,NO
332,37.42314,49,NO
333,1.2708042,2,YES
334,160.76846,253,NO
335,146.40549,138,NO
336,77.53562,64,NO
337,161.52031,133,NO
338,171.41821,240,NO
339,58.36083,52,NO
340,126.54747,102,NO
341,122.21466,86,NO
342,12.019413,20,YES
343,168.66852,121,NO
344,143.16954,135,NO
345,58.81796,61,NO
346,108.16628,86,NO
347,119.696465,120,NO
348,165.14938,226,NO
349,5.384998,0,YES
350,148.79445,109,NO
351,112.52952,128,NO
352,87.12953,82,NO
353,47.9326,38,NO
354,171.49905,156,NO
355,64.773285,50,NO
356,79.162346,84,NO
357,37.47682,28,NO
358,55.445316,42,NO
359,171.4953,142,NO
360,107.6196,87,NO
361,171.44362,164,NO
362,138.47997,150,NO
363,170.55965,146,NO
364,37.767025,44,NO
365,93.92324,93,NO
366,171.43839,252,NO
367,73.526764,65,NO
368,166.61801,121,NO
369,101.95759,121,NO
370,171.48889,112,NO
371,135.4798,124,NO
372,14.462383,12,YES
373,151.69073,118,NO
374,85.71892,61,NO
375,21.10923,18,NO
376,145.73843,153,NO
377,91.82637,95,NO
378,112.94372,114,NO
379,168.17343,97,NO
380,24.64957,22,NO
381,165.92368,160,NO
382,49.025455,32,NO
383,12.452175,18,YES
384,9.795153,18,YES
385,81.80912,79,NO
386,73.3438,83,NO
387,162.50467,155,NO
388,7.9544516,11,YES
389,55.702682,57,NO
390,57.948162,65,NO
391,6.5211344,7,YES
392,16.2494,12,YES
393,145.1123,122,NO
394,171.3968,175,NO
395,112.6423,138,NO
396,79.77623,89,NO
397,171.01917,222,NO
398,30.780088,34,NO
399,38.532707,36,NO
400,168.22934,243,NO
401,138.3896,93,NO
402,39.578854,45,NO
403,7.6070433,5,YES
404,171.31195,254,NO
405,81.03831,58,NO
406,169.0669,161,NO
407,122.31924,141,NO
408,16.110756,17,YES
409,23.536936,19,NO
410,87.289024,102,NO
411,83.74433,96,NO
412,158.30037,149,NO
413,127.60427,98,NO
414,67.037766,59,NO
415,167.59035,283,NO
416,168.5791,192,NO
417,171.5062,146,NO
418,48.355007,35,NO
419,149.67395,131,NO
420,98.486244,114,NO
421,144.89816,189,NO
422,105.166306,137,NO
423,99.31595,95,NO
424,171.42572,136,NO
425,2.9443223,1,YES
426,38.69823,36,NO
427,171.48782,156,NO
428,159.61806,198,NO
429,137.9227,129,NO
430,40.830685,43,NO
431,89.68441,87,NO
432,56.783142,57,NO
433,116.22491,146,NO
434,133.57701,154,NO
435,79.96403,70,NO
436,27.588741,28,NO
437,32.899925,33,NO
438,168.64871,169,NO
439,6.409458,13,YES
440,35.50289,33,NO
441,24.403517,39,NO
442,163.29309,108,NO
443,153.02773,129,NO
444,102.45539,114,NO
445,147.54163,99,NO
446,163.86008,144,NO
447,170.02907,190,NO
448,170.76154,162,NO
449,14.29261,26,YES
450,92.08146,85,NO
451,103.96438,88,NO
452,53.22327,43,NO
453,152.69858,223,NO
454,84.330345,66,NO
455,73.80309,64,NO
456,168.51302,166,NO
457,97.54612,84,NO
458,110.1596,138,NO
459,20.461336,25,NO
460,14.811335,18,YES
461,1.8582244,4,YES
462,81.27718,70,NO
463,141.42955,181,NO
464,28.437454,19,NO
465,121.851944,111,NO
466,67.10781,67,NO
467,75.75771,91,NO
468,12.043425,22,YES
469,114.015396,147,NO
470,167.94568,130,NO
471,107.14409,142,NO
472,0.550555,1,YES
473,95.12432,72,NO
474,113.329,123,NO
475,46.370926,50,NO
476,145.62183,193,NO
477,165.70389,284,NO
478,170.87585,141,NO
479,54.42824,56,NO
480,134.8977,91,NO
481,169.65509,138,NO
482,86.30204,88,NO
483,110.012276,87,NO
484,166.10876,161,NO
485,167.40569,242,NO
486,84.10845,81,NO
487,147.30766,93,NO
488,16.821861,8,YES
489,131.09996,158,NO
490,167.98749,173,NO
491,77.292656,76,NO
492,153.65558,162,NO
493,62.836582,64,NO
494,112.99347,117,NO
495,-0.14806485,3,YES
496,2.395888,1,YES
497,2.540423,5,YES
498,51.467045,33,NO
499,152.01602,130,NO
500,47.704678,38,NO
501,166.05823,141,NO
502,41.646023,43,NO
503,69.58422,69,NO
504,58.876175,51,NO
505,98.47147,110,NO
506,39.892284,34,NO
507,170.65092,176,NO
508,171.00244,221,NO
509,39.363064,35,NO
510,120.00027,111,NO
511,10.174489,11,YES
512,171.51584,237,NO
513,150.09824,151,NO
514,14.50212,18,YES
515,170.83694,267,NO
516,151.97083,161,NO
517,163.75339,113,NO
518,36.548862,34,NO
519,137.91483,151,NO
520,58.278362,59,NO
521,83.61719,76,NO
522,128.61047,115,NO
523,106.11515,95,NO
524,83.309,69,NO
525,171.21991,243,NO
526,2.0278122,5,YES
527,93.12481,73,NO
528,91.597115,66,NO
529,160.17244,175,NO
530,112.67381,129,NO
531,53.67785,53,NO
532,171.51022,211,NO
533,11.320311,20,YES
534,153.84618,153,NO
535,163.52094,106,NO
536,146.11588,134,NO
537,85.24492,77,NO
538,62.828884,69,NO
539,151.98148,172,NO
540,93.49415,95,NO
541,78.90554,62,NO
542,5.7240543,10,YES
543,7.32858,8,YES
544,44.610943,30,NO
545,24.764025,19,NO
546,133.11198,122,NO
547,137.04996,115,NO
548,107.2355,86,NO
549,160.77132,138,NO
550,171.4844,230,NO
551,138.49725,164,NO
552,141.23355,134,NO
553,134.48471,87,NO
554,167.68073,282,NO
555,148.8602,209,NO
556,171.39165,162,NO
557,12.307376,12,YES
558,130.89235,149,NO
559,151.83383,149,NO
560,87.036415,73,NO
561,2.9699552,10,YES
562,96.538246,81,NO
563,17.032278,13,YES
564,53.442738,48,NO
565,125.96575,85,NO
566,151.38187,152,NO
567,13.91526,8,YES
568,111.16221,89,NO
569,93.84336,76,NO
570,81.22023,57,NO
571,77.37382,91,NO
572,169.96431,214,NO
573,96.115105,73,NO
574,1.6842196,0,YES
575,134.7478,122,NO
576,72.21968,74,NO
577,33.662106,27,NO
578,169.69669,157,NO
579,166.54224,149,NO
580,133.70247,200,NO
581,59.05304,56,NO
582,49.585564,64,NO
583,165.1703,160,NO
584,35.54519,34,NO
585,14.320126,17,YES
586,105.52329,104,NO
587,91.89056,83,NO
588,8.63866,6,YES
589,111.75741,128,NO
590,5.180877,6,YES
591,57.713436,42,NO
592,97.74932,84,NO
593,117.92222,104,NO
594,75.81177,70,NO
595,93.6446,99,NO
596,136.44554,72,NO
597,143.06445,193,NO
598,140.46625,128,NO
599,67.95502,55,NO
600,24.751606,31,NO
601,45.775723,51,NO
602,31.956839,29,NO
603,122.77007,86,NO
604,135.38416,77,NO
605,55.521587,64,NO
606,96.133255,121,NO
607,40.89887,46,NO
608,27.853624,27,NO
609,12.261205,14,YES
610,13.773651,16,YES
611,61.129307,53,NO
612,70.62154,55,NO
613,94.4648,92,NO
614,88.76987,92,NO
615,114.65566,82,NO
616,132.70804,78,NO
617,149.47154,184,NO
618,7.7148075,9,YES
619,157.37909,257,NO
620,26.551773,20,NO
621,0.065772295,3,YES
622,148.68576,102,NO
623,67.144394,52,NO
624,104.3261,132,NO
625,114.402306,85,NO
626,99.885056,95,NO
627,91.29722,80,NO
628,126.193214,108,NO
629,65.198395,54,NO
630,151.74086,173,NO
631,152.97624,100,NO
632,95.31562,90,NO
633,59.372574,74,NO
634,35.758568,35,NO
635,171.36745,110,NO
636,41.007763,44,NO
637,170.13428,220,NO
638,168.69553,102,NO
639,62.580116,68,NO
640,65.81153,58,NO
641,-0.24451971,0,YES
642,35.96377,31,NO
643,5.626383,6,YES
644,111.64588,112,NO
645,116.86921,77,NO
646,40.574535,31,NO
647,2.2525074,10,YES
648,127.384026,109,NO
649,48.40165,42,NO
650,160.81992,183,NO
651,107.47573,82,NO
652,165.58618,210,NO
653,110.17142,129,NO
654,171.42523,111,NO
655,171.39163,148,NO
656,41.47464,47,NO
657,45.102478,58,NO
658,41.6207,23,NO
659,47.57938,43,NO
660,65.948616,61,NO
661,12.356712,16,YES
662,108.911125,109,NO
663,11.969193,13,YES
664,131.66649,96,NO
665,104.81943,58,NO
666,169.82831,202,NO
667,29.439465,32,NO
668,107.44497,107,NO
669,39.13158,34,NO
670,137.7943,84,NO
671,145.49307,202,NO
672,164.80045,132,NO
673,21.626703,19,NO
674,171.29828,251,NO
675,20.919825,22,NO
676,119.82172,98,NO
677,119.21767,142,NO
678,171.50038,152,NO
679,3.3565762,0,YES
680,137.42776,99,NO
681,82.9556,74,NO
682,117.0857,135,NO
683,17.067802,18,YES
684,131.74634,141,NO
685,24.426622,27,NO
686,49.304134,57,NO
687,72.08217,75,NO
688,22.627771,31,NO
689,169.53723,240,NO
690,109.32139,103,NO
691,171.26721,182,NO
692,15.174142,22,YES
693,81.83869,72,NO
694,171.39935,203,NO
695,47.60034,52,NO
696,121.72132,161,NO
697,83.69219,101,NO
698,64.99458,75,NO
699,149.06055,191,NO
700,170.465,203,NO
701,171.4789,159,NO
702,63.057682,72,NO
703,7.4332933,8,YES
704,-0.9864676,0,YES
705,125.52624,127,NO
706,164.89479,224,NO
707,150.99033,155,NO
708,107.585815,105,NO
709,123.73307,135,NO
710,119.6679,76,NO
711,136.47804,97,NO
712,130.36224,143,NO
713,60.56568,49,NO
714,171.52205,234,NO
715,42.481052,34,NO
716,99.70161,114,NO
717,35.662823,29,NO
718,45.290604,37,NO
719,40.321663,30,NO
720,158.87912,155,NO
721,171.41946,242,NO
722,60.185913,43,NO
723,49.399883,44,NO
724,25.17944,24,NO
725,33.16487,34,NO
726,30.454876,33,NO
727,66.44726,43,NO
728,156.3023,221,NO
729,171.4831,183,NO
730,171.4257,129,NO
731,91.90417,64,NO
732,88.28158,103,NO
733,99.39669,84,NO
734,130.14531,155,NO
735,136.8401,146,NO
736,72.57242,38,NO
737,170.01259,294,NO
738,171.4271,151,NO
739,55.13908,43,NO
740,110.414795,125,NO
741,15.866193,15,YES
742,151.72446,121,NO
743,168.35756,241,NO
744,67.23524,62,NO
745,57.625603,57,NO
746,10.574115,13,YES
747,103.202644,146,NO
748,54.468052,61,NO
749,53.833332,39,NO
750,21.352348,24,NO
751,162.76044,105,NO
752,44.339252,39,NO
753,80.49674,94,NO
754,108.34348,102,NO
755,8.104188,9,YES
756,37.31925,36,NO
757,148.17624,114,NO
758,17.402483,18,YES
759,13.311125,12,YES
760,171.42593,158,NO
761,171.40533,135,NO
762,161.53432,95,NO
763,22.482141,22,NO
764,165.10703,116,NO
765,100.30015,118,NO
766,140.27428,139,NO
767,83.53179,71,NO
768,35.263126,20,NO
769,149.08684,157,NO
770,44.48528,49,NO
771,68.9925,62,NO
772,84.32435,84,NO
773,50.83027,34,NO
774,121.53103,149,NO
775,0.25511432,3,YES
776,127.97053,115,NO
777,47.141502,49,NO
778,90.86756,110,NO
779,88.326546,103,NO
780,148.20174,143,NO
781,78.974915,67,NO
782,65.5621,60,NO
783,158.2754,157,NO
784,83.1724,80,NO
785,132.71707,118,NO
786,140.19778,149,NO
787,33.9592,21,NO
788,36.320568,39,NO
789,7.116103,19,YES
790,10.272209,7,YES
791,159.04926,121,NO
792,170.32819,102,NO
793,5.9596415,9,YES
794,170.96674,107,NO
795,168.3877,115,NO
796,46.827686,41,NO
797,48.717434,39,NO
798,53.993042,56,NO
799,117.94744,91,NO
800,64.20339,51,NO
801,106.87711,125,NO
802,117.0418,98,NO
803,76.82517,93,NO
804,153.8678,113,NO
805,84.065865,78,NO
806,112.85622,103,NO
807,51.14918,41,NO
808,144.80807,162,NO
809,131.24496,175,NO
810,5.318199,7,YES
811,171.46806,235,NO
812,74.97111,57,NO
813,-1.1151116,2,YES
814,26.565125,27,NO
815,165.13242,201,NO
816,155.72556,132,NO
817,65.55933,90,NO
818,56.920506,50,NO
819,78.74319,83,NO
820,31.062635,37,NO
821,40.194515,36,NO
822,108.21772,94,NO
823,171.4358,186,NO
824,69.06306,40,NO
825,127.94965,90,NO
826,169.80167,190,NO
827,156.84537,101,NO
828,170.59398,153,NO
829,137.5189,147,NO
830,100.42621,80,NO
831,88.79597,91,NO
832,170.92868,239,NO
833,76.47148,51,NO
834,34.512028,32,NO
835,137.90402,152,NO
836,108.94327,122,NO
837,83.32566,75,NO
838,23.247526,24,NO
839,144.07979,112,NO
840,138.1556,126,NO
841,117.26859,89,NO
842,5.707341,5,YES
843,30.04724,31,NO
844,93.70713,98,NO
845,52.629047,63,NO
846,167.93863,205,NO
847,163.88443,180,NO
848,17.086891,21,YES
849,85.94539,90,NO
850,123.80745,160,NO
851,171.35094,193,NO
852,99.11384,97,NO
853,170.06798,112,NO
854,165.00226,136,NO
855,43.905724,43,NO
856,35.62034,38,NO
857,10.643177,23,YES
858,80.86407,84,NO
859,171.44302,120,NO
860,120.5197,87,NO
861,171.24036,136,NO
862,60.48913,52,NO
863,10.491938,11,YES
864,92.85601,63,NO
865,171.35336,266,NO
866,171.33414,171,NO
867,63.431324,65,NO
868,108.83279,54,NO
869,170.96048,298,NO
870,23.658934,25,NO
871,31.162214,31,NO
872,31.587637,40,NO
873,34.742264,34,NO
874,97.66017,101,NO
875,86.837776,65,NO
876,167.59065,238,NO
877,110.0355,105,NO
878,164.96164,212,NO
879,46.251804,49,NO
880,19.535196,33,YES
881,68.52236,49,NO
882,92.82081,54,NO
883,171.48409,237,NO
884,45.127304,36,NO
885,16.42128,18,YES
886,49.201496,48,NO
887,34.61658,43,NO
888,136.02565,115,NO
889,163.25183,159,NO
890,61.95634,48,NO
891,162.05574,176,NO
892,64.00378,55,NO
893,13.80773,13,YES
894,171.45016,124,NO
895,45.684246,50,NO
896,57.43897,56,NO
897,150.57132,166,NO
898,43.25449,30,NO
899,141.61102,139,NO
900,95.146645,85,NO
901,5.0891743,5,YES
902,29.86611,22,NO
903,171.40396,130,NO
904,140.01704,79,NO
905,23.761211,25,NO
906,94.068016,91,NO
907,82.63833,62,NO
908,135.52861,136,NO
909,70.502914,95,NO
910,171.37265,238,NO
911,56.815067,58,NO
912,137.88747,134,NO
913,171.36157,192,NO
914,162.04709,153,NO
915,121.337585,137,NO
916,170.12326,140,NO
917,155.04568,100,NO
918,66.59577,53,NO
919,108.351295,86,NO
920,72.0631,50,NO
921,87.42401,86,NO
922,159.07497,171,NO
923,171.47218,173,NO
924,171.44669,249,NO
925,100.31089,109,NO
926,48.49638,50,NO
927,13.347651,13,YES
928,96.83256,93,NO
929,170.3465,249,NO
930,171.15495,162,NO
931,25.787548,22,NO
932,32.098415,27,NO
933,170.2733,146,NO
934,92.123474,76,NO
935,171.3472,312,NO
936,139.9151,148,NO
937,161.39589,153,NO
938,91.28001,79,NO
939,170.75885,115,NO
940,138.23322,152,NO
941,14.296644,9,YES
942,160.31903,200,NO
943,115.771805,83,NO
944,63.47682,67,NO
945,171.3789,181,NO
946,162.43991,206,NO
947,128.48102,99,NO
948,22.522871,29,NO
949,27.450441,22,NO
950,20.727543,15,NO
951,96.64611,91,NO
952,48.335957,59,NO
953,103.72049,103,NO
954,156.99918,112,NO
955,69.15279,76,NO
956,90.90767,101,NO
957,171.3373,288,NO
958,116.3182,141,NO
959,57.484165,54,NO
960,171.45204,249,NO
961,62.222385,70,NO
962,171.4684,170,NO
963,56.306057,44,NO
964,58.067673,47,NO
965,161.12265,155,NO
966,128.99374,143,NO
967,133.31413,153,NO
968,170.25317,196,NO
969,58.362568,49,NO
970,142.24716,109,NO
971,19.00147,21,YES
972,46.779633,43,NO
973,21.435575,22,NO
974,171.31622,300,NO
975,7.796193,18,YES
976,111.28139,116,NO
977,96.133385,73,NO
978,74.66923,61,NO
979,62.474518,58,NO
980,7.822356,11,YES
981,125.243935,166,NO
982,141.89319,175,NO
983,130.70938,147,NO
984,28.879536,34,NO
985,51.12262,68,NO
986,170.88432,159,NO
987,138.8461,148,NO
988,132.64822,98,NO
989,168.99261,151,NO
990,170.34164,188,NO
991,37.75744,31,NO
992,6.9584723,15,YES
993,162.11568,251,NO
994,97.424835,88,NO
995,147.47597,147,NO
996,152.44984,155,NO
997,9.691279,12,YES
998,159.14583,212,NO
999,80.089424,82,NO
1000,151.28406,151,NO
1001,124.1652,136,NO
1002,149.12363,99,NO
1003,83.68783,91,NO
1004,103.157005,125,NO
1005,128.1357,103,NO
1006,105.140114,85,NO
1007,33.73628,29,NO
1008,10.105697,11,YES
1009,92.38796,79,NO
1010,122.81314,134,NO
1011,11.582301,12,YES
1012,46.959435,31,NO
1013,45.709457,42,NO
1014,117.26058,149,NO
1015,45.72972,47,NO
1016,130.14363,161,NO
1017,19.061832,16,YES
1018,116.65464,128,NO
1019,28.984718,26,NO
1020,80.445015,78,NO
1021,161.94046,167,NO
1022,118.92682,91,NO
1023,4.2343674,7,YES
1024,12.066463,17,YES
1025,105.14159,89,NO
1026,118.720245,119,NO
1027,30.392618,23,NO
1028,12.746193,16,YES
1029,171.31729,157,NO
1030,12.714418,13,YES
1031,170.46846,137,NO
1032,3.6527019,3,YES
1033,137.78568,94,NO
1034,84.62237,74,NO
1035,7.779067,7,YES
1036,165.62999,138,NO
1037,25.487268,21,NO
1038,67.98127,59,NO
1039,110.6898,162,NO
1040,140.2582,98,NO
1041,62.800846,66,NO
1042,158.54445,102,NO
1043,64.784996,91,NO
1044,27.44213,21,NO
1045,169.19,194,NO
1046,80.79281,87,NO
1047,161.36679,204,NO
1048,119.314354,125,NO
1049,99.88861,110,NO
1050,43.384045,30,NO
1051,64.68189,64,NO
1052,171.48633,242,NO
1053,152.54828,184,NO
1054,115.960594,68,NO
1055,52.318447,41,NO
1056,171.4783,234,NO
1057,171.31154,302,NO
1058,17.494272,15,YES
1059,6.203827,8,YES
1060,146.04028,108,NO
1061,9.051401,20,YES
1062,138.87186,163,NO
1063,163.4943,148,NO
1064,98.89558,104,NO
1065,3.4609435,7,YES
1066,27.858398,33,NO
1067,30.065037,33,NO
1068,130.35986,102,NO
1069,160.08224,176,NO
1070,28.336514,29,NO
1071,154.18658,154,NO
1072,129.16919,109,NO
1073,149.30273,88,NO
1074,37.543625,38,NO
1075,88.01253,79,NO
1076,168.42033,197,NO
1077,164.81766,132,NO
1078,168.02385,225,NO
1079,108.8472,124,NO
1080,168.30994,219,NO
1081,157.31453,230,NO
1082,166.99466,215,NO
1083,0.45088315,7,YES
1084,31.890331,33,NO
1085,4.753337,7,YES
1086,159.73755,93,NO
1087,57.42705,41,NO
1088,171.17961,205,NO
1089,126.72991,119,NO
1090,141.53421,114,NO
1091,10.538839,18,YES
1092,85.58738,69,NO
1093,148.9602,193,NO
1094,64.68964,63,NO
1095,38.15592,33,NO
1096,144.57802,167,NO
1097,135.34683,107,NO
1098,130.58127,123,NO
1099,58.66731,56,NO
1100,91.058846,84,NO
1101,137.65845,135,NO
1102,79.690544,80,NO
1103,158.51414,131,NO
1104,171.46094,182,NO
1105,117.76899,79,NO
1106,171.45428,155,NO
1107,81.89222,66,NO
1108,77.80024,90,NO
1109,4.1721544,2,YES
1110,14.689647,22,YES
1111,76.00211,84,NO
1112,149.19688,85,NO
1113,167.08258,168,NO
1114,42.632694,63,NO
1115,101.55674,111,NO
1116,143.81725,75,NO
1117,84.053185,69,NO
1118,96.93443,105,NO
1119,14.074852,12,YES
1120,162.24898,177,NO
1121,87.919395,94,NO
1122,130.9165,113,NO
1123,50.531544,55,NO
1124,77.00109,68,NO
1125,40.245174,35,NO
1126,171.1547,192,NO
1127,55.686928,37,NO
1128,38.419617,28,NO
1129,14.75056,16,YES
1130,39.977036,35,NO
1131,86.57221,89,NO
1132,18.980366,22,YES
1133,167.69743,117,NO
1134,71.14393,61,NO
1135,36.886234,35,NO
1136,111.01968,145,NO
1137,146.84837,148,NO
1138,140.94316,84,NO
1139,138.68092,147,NO
1140,54.82378,63,NO
1141,3.8996627,5,YES
1142,127.7868,120,NO
1143,171.49222,163,NO
1144,101.97323,105,NO
1145,86.64988,78,NO
